ID,experience,Q1,Q2,Q3,Q4,Q5,age,gender,region,familyhouse
28,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,23,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
29,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,22,2 : 女性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
30,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,26,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
31,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,21,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),1
32,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,33,2 : 女性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),1
33,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,22,2 : 女性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),1
34,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,24,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
35,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
36,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
37,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,24,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
38,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
39,3 : １年以上前,2 : たけのこの里を買う,3 : どちらも買わない,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,25,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
40,1 : 過去半年以内,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,26,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
41,1 : 過去半年以内,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
42,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
43,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,21,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
44,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,22,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
45,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,21,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
46,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,24,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
47,2 : 過去半年から１年以内,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,23,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
48,1 : 過去半年以内,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,23,NA,東日本（北海道地方・東北地方・関東地方・中部地方）,0
49,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,22,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
