ID,experience,Q1,Q2,Q3,Q4,Q5,age,gender,region,familyhouse
23,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,3 : 関東地方,1
24,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
25,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,2 : 女性,3 : 関東地方,1
26,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,2 : 女性,6 : 中国地方,0
27,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,3 : 関東地方,1
28,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,1 : 男性,3 : 関東地方,1
29,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,3 : 関東地方,1
30,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
31,4 : 食べたことがない,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,1 : 男性,9 : 海外,0
32,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,21,1 : 男性,5 : 近畿地方,0
33,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,20,2 : 女性,3 : 関東地方,1
34,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,0
35,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,3 : 関東地方,1
37,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
38,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
39,1 : 過去半年以内,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
40,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,0
41,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
42,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
43,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
44,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,2 : 東北地方,1
45,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,8 : 九州地方(沖縄含む),0
46,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,21,1 : 男性,3 : 関東地方,1
47,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,0
48,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,0
49,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,3 : 関東地方,0
50,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,2 : 東北地方,0
51,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,20,1 : 男性,3 : 関東地方,1
52,1 : 過去半年以内,2 : たけのこの里を買う,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,5 : 近畿地方,1
53,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,4 : 中部地方,1
54,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
55,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
56,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,3 : 関東地方,0
57,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
58,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,6 : 中国地方,0
59,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
60,3 : １年以上前,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,20,2 : 女性,3 : 関東地方,1
61,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
62,4 : 食べたことがない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,9 : 海外,0
63,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,2 : 女性,9 : 海外,0
64,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,3 : 関東地方,1
65,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,22,1 : 男性,7 : 四国地方,1
66,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,3 : 関東地方,0
67,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
68,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
69,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
70,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,1 : 男性,3 : 関東地方,1
71,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,20,1 : 男性,4 : 中部地方,1
72,1 : 過去半年以内,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,20,2 : 女性,9 : 海外,1
73,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
74,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,21,1 : 男性,4 : 中部地方,0
75,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
76,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,8 : 九州地方(沖縄含む),0
77,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
78,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,2 : 女性,8 : 九州地方(沖縄含む),0
79,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,2 : 女性,3 : 関東地方,1
80,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
81,3 : １年以上前,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,2 : 東北地方,0
82,1 : 過去半年以内,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
83,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
84,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,21,1 : 男性,4 : 中部地方,0
85,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,5 : 近畿地方,0
86,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
87,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
88,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,8 : 九州地方(沖縄含む),0
89,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
90,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
91,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,20,2 : 女性,3 : 関東地方,1
92,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
93,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,1 : 男性,3 : 関東地方,1
94,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,21,2 : 女性,9 : 海外,0
95,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,3 : 関東地方,1
96,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,3 : 関東地方,1
97,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
98,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
99,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
100,3 : １年以上前,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,2 : 女性,9 : 海外,0
101,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,0
102,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
103,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,19,1 : 男性,4 : 中部地方,0
104,2 : 過去半年から１年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,19,1 : 男性,4 : 中部地方,0
105,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,19,2 : 女性,9 : 海外,1
106,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
107,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,1 : 男性,4 : 中部地方,0
108,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,4 : 中部地方,1
109,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,3 : 関東地方,1
110,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,20,2 : 女性,3 : 関東地方,1
111,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,3 : 関東地方,1
112,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
113,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
114,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,1 : 男性,8 : 九州地方(沖縄含む),0
115,2 : 過去半年から１年以内,2 : たけのこの里を買う,3 : どちらも買わない,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,19,1 : 男性,4 : 中部地方,0
116,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,1 : 男性,6 : 中国地方,0
117,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
118,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,2 : 女性,3 : 関東地方,1
119,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,7 : 四国地方,0
120,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,3 : 関東地方,1
121,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,19,2 : 女性,3 : 関東地方,1
122,1 : 過去半年以内,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
123,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
124,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,19,2 : 女性,2 : 東北地方,0
125,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,3 : 関東地方,1
126,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,19,1 : 男性,3 : 関東地方,1
127,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
128,2 : 過去半年から１年以内,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
129,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
130,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,9 : 海外,0
131,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
132,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
133,1 : 過去半年以内,1 : きのこの山を買う,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
134,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,1 : きのこの山を買う,20,2 : 女性,4 : 中部地方,0
135,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
136,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
137,1 : 過去半年以内,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,0
138,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,3 : 回答したくない,3 : 関東地方,1
139,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,3 : 関東地方,1
140,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
141,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,1 : 男性,4 : 中部地方,0
142,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
143,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,1 : 北海道地方,0
144,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,19,1 : 男性,3 : 関東地方,1
145,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,1 : きのこの山を買う,19,1 : 男性,3 : 関東地方,1
146,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,19,1 : 男性,3 : 関東地方,1
147,2 : 過去半年から１年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,2 : 東北地方,1
148,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,20,2 : 女性,3 : 関東地方,1
